INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
3,Day,Descent,Unknown,Unknown,Rock pigeon,Small,2-10,A,4.0,D,2.0,AWP,CA,No Cloud,0
3,Dawn,Approach,Unknown,Unknown,Unknown bird,Unknown,1,A,4.0,D,2.0,ASO,NC,No Cloud,0
3,Day,Take-off Run,0-500 ft,0 NM,Eurasian collared dove,Small,1,A,5.0,D,4.0,AWP,CA,No Cloud,0
3,Night,Approach,"1,501-3,500 ft",5-20 NM,Yellow-rumped warbler,Small,1,A,4.0,D,2.0,ASO,FL,Some Cloud,0
2,Day,Landing Roll,0-500 ft,0 NM,Unknown bird,Unknown,2-10,A,4.0,D,2.0,ASO,NC,No Cloud,0
3,Day,Take-off Run,0-500 ft,0 NM,Red-tailed hawk,Medium,1,A,4.0,D,2.0,ASO,KY,Some Cloud,0
3,Night,Approach,"1,501-3,500 ft",0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,TN,No Cloud,0
3,Dusk,Approach,Unknown,Unknown,Red-tailed hawk,Medium,1,A,5.0,D,2.0,AWP,CA,Unknown,1
3,Day,Approach,0-500 ft,0-5 NM,White-headed gull complex,Medium,1,A,2.0,C,1.0,AWP,CA,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Mourning dove,Small,1,A,2.0,C,2.0,AEA,NY,Some Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,Unknown bird,Unknown,1,A,4.0,C,4.0,AWP,HI,No Cloud,0
3,Dawn,Landing Roll,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,Overcast,0
3,Day,Approach,"1,501-3,500 ft",5-20 NM,Unknown bird - large,Large,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
3,Day,Approach,0-500 ft,0-5 NM,Cedar waxwing,Small,1,A,4.0,D,2.0,ASO,GA,Overcast,0
3,Night,Approach,Unknown,0 NM,Horned lark,Small,1,A,4.0,D,2.0,ANM,WA,Overcast,0
3,Night,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,LA,Overcast,0
3,Day,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,3.0,AGL,IN,Some Cloud,0
3,Dusk,Landing Roll,0-500 ft,0 NM,Red fox,Large,1,A,4.0,D,2.0,AEA,PA,Some Cloud,0
3,Day,Take-off Run,0-500 ft,0 NM,Chestnut munia,Small,1,A,4.0,D,2.0,AWP,HI,Overcast,0
3,Dusk,Approach,Unknown,0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
3,Night,Approach,0-500 ft,Unknown,Unknown bird,Unknown,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
3,Day,Approach,0-500 ft,0 NM,Western meadowlark,Small,2-10,A,2.0,C,1.0,AWP,CA,Some Cloud,0
1,Day,Take-off Run,0-500 ft,0 NM,Glaucous-winged gull,Medium,1,A,4.0,D,2.0,AWP,CA,No Cloud,1
1,Day,Approach,0-500 ft,0-5 NM,Canada goose,Large,2-10,A,4.0,D,2.0,AEA,NY,No Cloud,1
3,Day,Approach,0-500 ft,Unknown,Perching birds (y),Small,1,A,4.0,D,2.0,AWP,AZ,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,American kestrel,Small,1,A,3.0,D,2.0,ANM,ID,No Cloud,0
3,Day,Landing Roll,0-500 ft,0 NM,American kestrel,Small,1,A,4.0,D,2.0,ASO,TN,Overcast,0
3,Night,Approach,"501-1,500 ft",0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,AGL,MI,Some Cloud,0
3,Day,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
3,Night,Approach,"3,501-10,000 ft",20-50 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
3,Night,Approach,"1,501-3,500 ft",5-20 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
3,Dawn,Take-off Run,0-500 ft,0 NM,Rabbits,Medium,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
